PlaceID,Rating,Text,Timestamp
ChIJyxwjOkame0gRn2_ezIQOtRE,5,"I switched my energy supplier through Love Energy Savings, Ismail Essa was great, very informative and knowledgeable, easy to deal with, I will defiantly use them again.",2024-03-18T08:30:42Z
ChIJyxwjOkame0gRn2_ezIQOtRE,5,Excellent service from Jayde Smith and Shoaib Khan who sorted me out with a new energy deal I was happy with in minutes and beat the price of my current supplier. A great experience!,2023-10-03T16:38:59Z
ChIJyxwjOkame0gRn2_ezIQOtRE,5,Sho Khan dealt with my queries of changing energy supplier and he  was extremely helpful as He  navigated me through various energy deals and he found the best one to save  a lot of money on our energy bills.,2024-02-29T12:33:29Z
ChIJXd-jSSm7e0gRVsPQjDMiW5U,5,"I've placed a number of business contracts with Crown. They don't always win on price but personal customer service and quick response is consistent, a rarity in today's energy market.",2023-08-02T13:44:36Z
ChIJXd-jSSm7e0gRVsPQjDMiW5U,5,"call answered straight away by someone really helpful. She then passed me through to Natasha who was equally helpful.
Easiest energy company I have dealt with in years.  Hope they take on electricity soon so we can move our account over",2023-07-07T13:04:55Z
ChIJsa5cvTWxe0gRB1RiAvJ7tXc,5,Beta energy is one of the best company in uk with best energy prices. It’s a wonderful experience to work with them. They provide best deals and many more stuff like card machines and buisness insurances etc. And specially MR ALI is a great guy. He deal with all the problems very professionally. Many thanks for your great service. Keep it up guys. 👏,2022-05-17T16:28:39Z
ChIJsa5cvTWxe0gRB1RiAvJ7tXc,5,"I was struggling my electric on going issue with my supplier British Gas , I was being charged for precision tenants usage ,Beta energy made sure I only paid what I used , then got me a new supplier with better rates , so being a business owner I’ll go with company who I can trust and believe",2022-05-18T17:13:37Z
ChIJsa5cvTWxe0gRB1RiAvJ7tXc,5,"We struggled with our gas and electric existing suppliers for our business ,Beta energy helped us to arrange a switch to better rates. Plus after that they got us a gprs card terminals for our business, recently they got us better fibre Internet deal
Thank you Beta from Pasha Restaurant For helping us a lot in running our business smoothly.",2022-05-31T18:38:04Z
ChIJ27hZwQ9oekgRhH_Zdbl82PM,5,Very good and helped me with my energy switch,2021-09-25T22:31:56Z
ChIJRetEIEmxe0gRaExbLDP9JNc,5,"Fantastic, saved 50|% on my electric costs and was even cheaper than going directly to the supplier it’s Very helpful in helping with the energy market and finding us the best deal and the staff very nice.
Thank you",2024-03-03T20:27:12Z
ChIJRetEIEmxe0gRaExbLDP9JNc,5,Saved a 30 year old family business from going under. Surprisingly found us a deal that was cheaper than a quote directly from the supplier.,2024-03-03T22:49:30Z
ChIJ02LAtD-ze0gRhnYMPrv_b6M,5,"Slightly delayed (due to stock issues) but otherwise impeccable installation.

Engineer was happy and able to answer my questions, and I will use them should I ever decide to add battery storage to my setup",2022-07-28T15:39:23Z
ChIJBbl6eltNekgRCFImSfK9a5M,4,Great service found the best deal quickly and efficiently.  Very helpful customer service.  Would recommend them highly for finding  cheap energy suppliers.,2021-08-23T11:24:51Z
ChIJBbl6eltNekgRCFImSfK9a5M,5,Had a phone call from Greg last week and he explained the various options available to us since Green Energy stopped trading and EDF took over. They had put us on a variable tariff and Greg advised us of our options with other suppliers. We settled on a new supplier and on a tariff which will suit us very well. Thank you Greg for spending your time explaining everything so thoroughly. Regards.....Tom Welsh,2021-05-10T12:15:08Z
ChIJBbl6eltNekgRCFImSfK9a5M,4,"Yes I’m so happy good service. We are an energy comparison service search the energy market and sources the cheapest tariffs and most exclusive rates.
Thank you..",2022-09-30T15:26:09Z
ChIJ__8PEcGxe0gRYjFuJZN5LbI,1,"I'd advise to avoid where possible.

On the 2nd April 2024, we reached out to Utility Bidder in order to assist us in finding a better rate for our gas and electric supplier at our commercial property.

I spoke with, who I thought, was a great member of staff - really helpful. Little did I know, it was just part of their sales tactics.

They first started by getting the best possible prices from our current supplier, before tendering our requirements out to their network.

Within a few minutes, she come back to me with prices (which weren't too bad in all honesty).

In the meantime, I said I was going to be speaking to my existing supplier to find out their best prices - the colleague I spoke with informed me she already had done, and they were the initial prices and not to contact them (I was confused as to who she spoke with initially).

In the meantime, I'd already poke with my existing supplier and requested a price from them, but because their member of staff told me that they'd alreadyspoke to them and got the prices, I continued to enter an agreement with Utility Bidder and our new supplier.

I then received the prices from my current supplier, who came in a A LOT cheaper than Utility Bidder had actually told me (when I mean cheaper, I mean over 75%). When I queried this, I was informed by their customer service that my supplier wouldn't put me on this contract due to me having a low credit score (due to being a new business).

I checked with my supplier if the credit check would impact the decision on me taking out this new contract, where I was informed that the credit check WOULD NOT impact the new prices and contract.

So, in conclusion - I was lied to by two members of Utility Bidder's staff in order to get me to stick with them, than my existing supplier.

If you do use them, do your own due diligence and ignore what they say until you have your own evidence to show that they are cheaper.",2024-04-03T16:31:10Z
ChIJ__8PEcGxe0gRYjFuJZN5LbI,5,"Great company,have used them a couple of times and their customer service is second to none",2023-06-09T16:17:39Z
ChIJ__8PEcGxe0gRYjFuJZN5LbI,5,Prices with Utility Bidder were significantly cheaper compared to going direct to the supplier. Tracy Bond helped me throughout the process and had great customer service skills. She provided professional support throughout and called me back when she had promised. Would highly recommend.,2021-01-14T11:52:58Z
ChIJfYAF5kXqeUgRqcfICc508I8,5,"Great company to deal with, excellent customer service and competitive rates. I have just renewed again with them for my business Buba-Licious Ltd and the process was so easy. Highly Recommended",2021-07-07T14:54:19Z
ChIJfYAF5kXqeUgRqcfICc508I8,1,"I run a small Company with high gas usage and received the enclosed:

""We recently sent this email to you which unfortunately was missing some elements of your account's details, please find below your revised update.

As you know, the last year has been extremely challenging for all businesses. One such impact of these exceptional events is that they have created significant additional costs for the supply of your energy. We have done everything we can to mitigate this financial impact and to date, we have absorbed these additional costs into our agreed energy supply rates. In light of the significant and ongoing situation, it is regretfully unsustainable for us to continue to absorb these additional costs.

We’re getting in touch with you as your energy consumption for the period 10/02/2020 to 09/08/2022 is significantly different from your estimated yearly consumption. Consequently, we are writing to advise you of some additional reconciliation fees you will receive in your next bill and the options available to help you mitigate the impact of these charges.
What are Reconciliation Fees?
At the start of your contract, we set your agreed supply rates based on the estimated yearly consumption figures that you provide us. We purchase energy based on these consumption figures to ensure you get a competitive price in line with available market rates at that time, giving you certainty over your energy prices for the duration of your contract.

In clause 11 of our Business Terms & Conditions, we advise Corporate Business customers that there is a reconciliation fee that will be incurred if your consumption is outside the range of 90/110% of your estimated yearly energy usage.  This charge reflects the additional costs incurred if we have to balance your energy requirements outside of this tolerance range, either purchasing the shortfall from the market or selling the surplus energy at a price different to that when the contract was agreed. The reconciliation charges we calculate use the actual market prices observed during the period of the calculation. Many business energy suppliers have similar clauses in their contracts.

What this means for you
As your energy consumption for the period is outside of your contracted tolerance limit of 90/110, your account is due to incur a reconciliation fee of £330.84. These charges will be applied to your next bill.""

My wife wrote to complain, we did not receive an acknowledgement.
Their strap line should really read:

""Profiteering to Make a bad situation worse""",2021-04-14T14:39:28Z
ChIJfYAF5kXqeUgRqcfICc508I8,5,Great company to deal with. Would definitely recommend to anyone looking to switch their business energy supply.,2021-02-26T11:38:33Z
