PlaceID,Rating,Text,Timestamp
ChIJ4zfghFWue0gRJ8GlyDWGfzI,5,"Really nice trip ,just over an hour to learn many interesting facts about the river and canal history and see many landmarks. There are toilets on board and a well stocked looking bar ( we didn't use it). You can board from two different locations. Nice if you don't know much about Manchester.",2022-04-19T05:53:11Z
ChIJ4zfghFWue0gRJ8GlyDWGfzI,4,"Relaxing tour, make sure you grab a seat in the open - top of the boat",2022-06-29T07:43:08Z
ChIJ4zfghFWue0gRJ8GlyDWGfzI,5,"This is a great way to spend a couple of hours,
The commentary gives you a snapshot of the ship canal history. Give it a try you will not be disappointed.",2023-06-03T06:11:53Z
ChIJ_zvtnhSBcUgRvMM9jhuYwVs,5,Lovely little tour up the river you get to see some beautiful views for a reasonable price.  The staff are super friendly and knowledgeable. It is also good to support a small local business.,2020-08-09T10:14:11Z
ChIJ_zvtnhSBcUgRvMM9jhuYwVs,5,Paul and Abi were delightful as they explained the history of Bath via boat tour with an added delight of Prosecco. We felt at ease and comfortable. They were friendly and engaging and we really enjoyed the ride. We only came to Bath for a day trip and I would highly recommend this boat tour to soak in as much as possible in a short amount of time. Thank you Paul and Abi for your hospitality.,2023-07-28T15:20:21Z
ChIJ_zvtnhSBcUgRvMM9jhuYwVs,5,"Such a memorable experience on board, the guide was welcoming and attentive for the prosecco top up throughout. Lovely journey along the river with a relaxing feel to the trip. Highly recommend these guys.",2021-11-11T21:43:20Z
ChIJ23ayFakxeUgRGOJMyCVXKuo,4,"The trip lasts an hour and goes up and down the river, with the captain giving commentary on the history of both the river and the various buildings along its bank.",2021-09-07T10:17:05Z
ChIJ23ayFakxeUgRGOJMyCVXKuo,5,Lovely afternoon spent on the River very informative and relaxing lasted about a hour with great commentary lovely landmarks and scenery all for £13 for a adult.,2022-08-09T14:20:39Z
ChIJ23ayFakxeUgRGOJMyCVXKuo,4,"Well worth the 1 hour trip up the river, staff very knowledgeable and the history talk is well worth the trip.",2023-07-16T20:09:43Z
ChIJAcz0Ck7dekgRBn2EG_u3BEI,5,"Had a lovely time, took the 2 hour cruise. Staff were lovely and couldn't be more helpful and communicative. The recorded guide was informative, in places very amusing, and the views along the river are beautiful! A good trip out.",2023-04-10T09:33:11Z
ChIJAcz0Ck7dekgRBn2EG_u3BEI,5,Great trip up the River Dee ... Relaxing and very informative with a great commentary most of the way. Lovely houses on the way and great stately homes and estates too. Boat has a cafe and bar and the team onboard are friendly and helpful. Toilet on board too. Easy to book online or at the dock side.,2022-07-22T15:27:44Z
ChIJAcz0Ck7dekgRBn2EG_u3BEI,5,"A lovely boat ride on the river Dee,commentary was very informative..excellent.",2022-08-09T12:34:37Z
ChIJ4XOfWQefekgRABI54HCk55I,5,"Visited the Sabrina boat with my husband & four children. We hadn’t pre booked but called the office on the day & managed to get booked in on the same day.
The boat ride was lovely, the children really enjoyed it & the guide on the landmarks along the river was so interesting & taught us facts we never even knew!!

I would definitely recommend & great value for money!",2021-06-17T07:36:52Z
ChIJ4XOfWQefekgRABI54HCk55I,5,"We enjoy the boat trip immensely. The commentary was informative , the pace was lovely and gentle , a great way to experience the calm of the river and to get a feel for Shrewsbury.  We parked in nearby car park, booked on the day,  and had some refreshments onboard. Everyone loved it .",2023-06-13T05:25:00Z
ChIJ4XOfWQefekgRABI54HCk55I,5,"A very enjoyable little trip along the river, refreshments can be purchased on the boat, the staff were great and the commentary was very informative.",2022-08-04T20:53:27Z
ChIJva9gkLXL3kcRNI9B3z6RB78,5,"Super guide on the river Stour, Capt. Roy who told us heaps of interesting information and made our boat trip fun!",2023-07-21T16:51:46Z
ChIJva9gkLXL3kcRNI9B3z6RB78,5,"Great relaxing tour of river stour,guide was very informative and funny,would highly recommend",2023-07-10T12:22:21Z
ChIJva9gkLXL3kcRNI9B3z6RB78,5,"I visited Canterbury for the second time and I just had to bring my friend along for this amazing tour! Our guide was absolutely fantastic! He was so informative, friendly and funny. We learned so much about the story of the river and surrounding areas - it was really interesting! The boat ride was also super relaxing and the views were super stunning! Honestly, I can’t recommend this tour enough and I would go back for a third time! Well done guys!",2024-03-25T16:30:25Z
ChIJdZwApjHOcEgRlwelgMV9ung,5,"Absolutely amazing River tour , great crewe Dan and deano very nice gentleman,  amazing views from the river and surrounding areas definitely recommend and will definitely be back. 🥰🥰",2021-06-13T12:34:36Z
ChIJdZwApjHOcEgRlwelgMV9ung,5,"A very nice trip down the river on board a comfortable narrow boat was just what we needed,  we had on board entertainment from Dino which kept us all amused.  Great work guys",2022-08-14T04:43:48Z
ChIJdZwApjHOcEgRlwelgMV9ung,4,"Went on the river tour and it was well worth the money for the time and guided info given, its hard knowing which one to go on and I can recommend this as value for money.",2023-07-03T19:36:54Z
ChIJB2u85MV0e0gRE8BkiYATzRo,5,"The 9 of us were treated like royalty for an afternoon tea on cruise boat ""Romance"".  We were offered drinks of our choice and crisps. We were served sandwiches, amazing mini desserts and coffee or tea. The boat was tastefully decked out, scenery was beautiful as we smoothly sailed along, and the staff were wonderful. The whole experience was so therapeutic and we all thoroughly enjoyed our afternoon. Would recommend, and we're definitely returning. Thank you Riley Canal Cruises.",2024-03-20T15:17:25Z
ChIJB2u85MV0e0gRE8BkiYATzRo,5,"My wife and I hired out the Romance boat for our intimate wedding reception. The service provided by Bridie and the team was absolutely exceptional. They could not have been more friendly, helpful and accommodating with us in terms of what we were looking for. The trip itself, the food cooked, and the service received, was perfect. We could not have had a better day and would highly recommend Canal Boat Cruises to anyone looking for an afternoon out, or to hire for an event.",2023-11-24T12:16:11Z
ChIJB2u85MV0e0gRE8BkiYATzRo,5,Excellent evening. Food was very good and staff friendly. Trip along the canal passed by so smoothly it didn't seem like two and a half hours. Well worth booking.,2021-10-30T10:42:50Z
ChIJ05WEYJbze0gRJRgAvdmuWWA,5,"Very informative tour, comfortable seating (better than some on the Thames!) warm heated, and funny host",2021-11-09T13:25:33Z
ChIJ05WEYJbze0gRJRgAvdmuWWA,5,"Brilliant trip, staff were very helpful and the pre recorded commentary was highly amusing.  It was a cloudy day, not overly hot outside but it was very hot and stuffy inside, couldve done with having some of the sliding windows open a crack to give a gentle through breeze to give some fresh air",2023-09-17T19:17:54Z
ChIJ05WEYJbze0gRJRgAvdmuWWA,5,Lovely tour with a great commentary 👌 the staff were helpful and friendly. Such a peaceful experience we all really enjoyed it and would recommend a trip!,2023-08-24T22:09:41Z
ChIJwTU56x3EdkgRZWg6_jCYkPs,5,"Beautiful scenery, very peaceful trip, knowledgeable, capable and engaging tour guide and very good value for money.",2022-07-01T09:15:35Z
ChIJwTU56x3EdkgRZWg6_jCYkPs,5,"Booked a 50 minute cruise for us last week when visiting Oxford. We were lucky with the weather but the boat was really comfy, tables and chairs with extra blankets!
Great tour guide, really fun and interesting, able to answer all questions and also let us enjoy the peace of the river. Highly recommended.
Well organized, great communication before the trip as well.",2022-10-23T15:47:22Z
